train_folder,file_name,window_id,CH1_rms,CH1_kurtosis,CH1_skewness,CH1_peak,CH2_rms,CH2_kurtosis,CH2_skewness,CH2_peak,CH3_rms,CH3_kurtosis,CH3_skewness,CH3_peak,CH4_rms,CH4_kurtosis,CH4_skewness,CH4_peak,Torque[Nm],TC SP Front[¡ÆC],TC SP Rear[¡ÆC]
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,1,0.301782585,0.022137226,-0.002302999,1.195960132,0.330675312,-0.060582695,0.005527836,1.48250255,1.45099237,0.047973486,0.003116754,6.071262238,0.289784288,-0.017508578,0.00465301,1.149150272,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,2,0.302037246,0.032261762,-0.00724236,1.198646571,0.338961051,0.091890648,-0.025969564,1.50345197,1.497004056,0.187125459,0.000583743,6.655924059,0.289961087,-0.034435071,-0.002881149,1.346162315,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,3,0.303167387,0.007514094,-0.003736236,1.220647007,0.291469477,-0.022707939,-0.002115293,1.323046457,1.462508019,0.119339122,-6.52E-05,6.432170208,0.275889702,0.007939019,-0.003976103,1.297878136,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,4,0.300751681,-0.023977431,0.002048049,1.292229831,0.299928926,-0.029881772,0.018681261,1.150591553,1.433463808,0.03527609,-0.002382713,5.988184601,0.278433177,0.105602243,0.007782422,1.281092044,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,5,0.303338896,0.111482538,0.004494811,1.384163946,0.296474128,-0.067030242,-0.035283245,1.228482353,1.45638517,0.078918546,0.000995873,5.831304824,0.275208206,0.04097426,-0.006602998,1.255286639,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,6,0.302930584,0.046335534,0.005513437,1.304278601,0.30659972,0.098718663,0.032403047,1.372473969,1.449913327,0.112947158,-0.001284395,7.023806814,0.27955913,0.006681649,0.005324665,1.190720768,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,7,0.300903182,0.03917378,0.009053682,1.343501472,0.316286872,0.028441279,0.020730175,1.270390924,1.401818227,0.138354599,-0.003440722,6.270751714,0.282035669,-0.019354487,0.022278338,1.22601115,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,8,0.302495089,0.021970702,-0.002839719,1.299899429,0.319959848,-0.088227561,-0.001029416,1.29452074,1.447342505,0.188493227,0.004817133,7.408183584,0.281767783,0.054530002,-0.005656414,1.392121806,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,9,0.300867599,-0.035566995,-0.004103963,1.197730968,0.312527297,-0.062779154,0.016197254,1.321875128,1.434986344,0.068183098,-0.000138482,6.366998912,0.281378861,0.007496436,-0.023221266,1.098408771,-10.352493,47.3274,56.6218
Train1,modified_KIMM Simulator_KIMM Bearing Test_20160325122639.tdms,10,0.301856667,0.038287823,-0.001213806,1.306040163,0.307310328,-0.039831549,0.018853358,1.293817833,1.419804992,0.061904931,0.005954233,6.243264757,0.291353529,0.012020159,0.001565178,1.224102986,-10.352493,47.3274,56.6218
